name,host_star,discovery_year,discovery_method,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,equilibrium_temperature,equilibrium_temperature_error_min,equilibrium_temperature_error_max,source,last_updated
K2-206 b,K2-206,2018.0,Transit,8.22,,,2.79522879,0.22325706,-0.15450847,18.294549,0.001728,-0.001599,,,,,,,89.11217,0.63395,-1.22093,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 111232 b,HD 111232,2003.0,Radial Velocity,2531.50326176,358.5104431,-152.23980695,12.6,,,1169.13202,0.6138,-0.39663,2.148,0.088,-0.097,0.214,0.005,-0.003,93.521,16.622,-18.063,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-231 b,K2-231,2018.0,Transit,6.8,,,2.5,0.2,-0.2,13.841901,0.001352,-0.001352,,,,,,,88.6,0.9,-0.6,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-80 b,K2-80,2016.0,Transit,4.7,,,2.01,0.3,-0.3,19.0918,0.0064,-0.0064,0.135,0.004,-0.004,,,,88.99371,0.72718,-1.57402,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-407 b,K2-407,2022.0,Transit,2.19,,,1.283,0.097,-0.089,4.941907,0.000661,-0.000696,,,,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 1214 b,GJ 1214,2009.0,Transit,8.41,0.36,-0.35,2.733,0.033,-0.031,1.580404531,1.8e-08,-1.7e-08,0.01505,0.00011,-0.00011,0.0062,0.0079,-0.0044,88.98,0.094,-0.085,567.0,7.6,-7.6,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HATS-54 b,HATS-54,2019.0,Transit,239.32479047,18.1162192,-18.1162192,11.37711541,0.26901554,-0.26901554,2.5441765,2.4e-06,-2.4e-06,0.037,0.001,-0.001,0.0,,,83.67,0.34,-0.34,1429.0,24.0,-24.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KMT-2019-BLG-0414L b,KMT-2019-BLG-0414L,2022.0,Microlensing,1452.47581999,1188.67824218,-654.72651842,12.9,,,,,,1.16,0.47,-0.51,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-276 b,Kepler-276,2014.0,Transit,731.209,,,2.87,1.35,-1.35,14.12841,0.000111,-0.000111,0.119,,,0.0,,,87.47,,,739.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-51 b,Kepler-51,2012.0,Transit,2.1,1.5,-0.8,7.1,0.3,-0.3,45.154,0.0002,-0.0002,0.2514,0.0097,-0.0097,0.04,0.01,-0.01,89.78,0.15,-0.17,543.0,11.0,-11.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-810 b,Kepler-810,2016.0,Transit,4.38,,,1.93,0.41,-0.19,4.59725385,2.999e-05,-2.999e-05,0.055,,,0.0,,,89.85,,,1105.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1061 b,Kepler-1061,2016.0,Transit,4.58,,,1.98,0.11,-0.37,2.757982666,3.883e-06,-3.883e-06,0.0388,0.0004,-0.0004,0.0,,,80.18,,,1332.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1544 b,Kepler-1544,2016.0,Transit,3.82,,,1.78,0.09,-0.07,168.811174,0.001271,-0.001271,0.54465,0.00498,-0.00498,0.0,,,89.797,0.0069,-0.022,269.0,25.0,-20.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-160 b,Kepler-160,2014.0,Transit,3.59,,,1.715,0.061,-0.047,4.309397,1.3e-05,-1.2e-05,0.05511,0.0019,-0.0037,0.0,,,89.83,,,1134.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-2274 b,TOI-2274,2024.0,Transit,6.57,,,2.45,0.23,-0.13,2.67963,3e-06,-3e-06,0.05,0.0061,-0.0066,,,,87.37,0.5,-0.65,771.46,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 100655 b,HD 100655,2011.0,Radial Velocity,511.7063,108.0622,-108.0622,13.5,,,157.57001,0.65,-0.65,0.68,0.04,-0.04,0.09,0.05,-0.05,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 210277 b,HD 210277,1998.0,Radial Velocity,410.0007,15.8915,-15.8915,13.6,,,442.19,0.5,-0.5,1.13,0.02,-0.02,0.48,0.02,-0.02,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 21693 b,HD 21693,2019.0,Radial Velocity,8.23,1.08,-1.05,2.8,,,22.6786,0.0085,-0.0087,0.1455,0.0058,-0.0063,0.12,0.09,-0.08,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 10180 f,HD 10180,2010.0,Radial Velocity,23.9,1.4,-1.4,5.24,,,122.744,0.232,-0.232,0.4929,0.0078,-0.0078,0.119,0.054,-0.054,90.0,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 10180 g,HD 10180,2010.0,Radial Velocity,21.4,3.4,-3.4,4.91,,,604.67,10.42,-10.42,1.427,0.028,-0.028,0.263,0.152,-0.152,90.0,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 11506 b,HD 11506,2007.0,Radial Velocity,1551.00262616,631.2072163,-105.83685953,12.9,,,1617.7,1.9,-1.9,2.885,0.016,-0.016,0.379,0.009,-0.009,112.598,23.304,-52.7,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-178 g,TOI-178,2021.0,Transit,3.94,1.31,-1.62,2.87,0.14,-0.13,20.7095,0.00014,-0.00011,0.1275,0.0038,-0.0039,,,,88.823,0.045,-0.047,470.0,10.0,-10.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
