name,host_star,discovery_year,discovery_method,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,equilibrium_temperature,equilibrium_temperature_error_min,equilibrium_temperature_error_max,source,last_updated
HD 6718 b,HD 6718,2009.0,Radial Velocity,533.9544,76.2792,-76.2792,13.5,,,2496.0,180.0,-180.0,3.55,0.18,-0.18,0.1,0.08,-0.08,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
OGLE-TR-132 b,OGLE-TR-132,2004.0,Transit,375.02,44.49,-41.32,13.45,1.68,-1.23,1.689868,,,0.03035,0.00057,-0.00053,0.6,,,83.4,2.9,-1.3,2013.0,77.0,-108.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1497 b,Kepler-1497,2016.0,Transit,3.39,,,1.66,0.29,-0.16,8.74199772,8.621e-05,-8.621e-05,0.0817,,,0.0,,,89.91,,,924.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1502 b,Kepler-1502,2016.0,Transit,10.2,,,3.18,1.12,-0.64,41.7083629,0.0003485,-0.0003485,0.2482,,,0.0,,,88.65,,,608.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HIP 57274 b,HIP 57274,2011.0,Radial Velocity,6.3566,3.1783,-3.1783,2.4,,,8.1352,0.004,-0.004,0.07,0.0,0.0,0.19,0.1,-0.1,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
MOA-2009-BLG-266L b,MOA-2009-BLG-266L,2011.0,Microlensing,10.4,1.7,-1.7,3.21,,,2800.0,2800.0,-500.0,3.2,1.9,-0.5,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
OGLE-2018-BLG-1011L b,OGLE-2018-BLG-1011L,2019.0,Microlensing,570.0,1100.0,-350.0,13.5,,,,,,1.8,2.1,-1.5,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 221416 b,HD 221416,2019.0,Transit,60.5,5.7,-5.7,9.17,0.34,-0.31,14.2767,0.0037,-0.0037,0.1228,0.0025,-0.0026,0.115,0.034,-0.03,85.75,0.36,-0.35,789.15,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HIP 54373 c,HIP 54373,2019.0,Radial Velocity,12.44,2.11,-2.11,3.57,,,15.144,0.008,-0.008,0.099,0.002,-0.002,0.2,0.12,-0.12,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 79181 b,HD 79181,2021.0,Radial Velocity,203.41018048,19.06970442,-50.85254512,14.1,,,273.1,1.3,-0.4,0.9,0.07,-0.08,0.259,0.067,-0.206,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 161178 b,HD 161178,2021.0,Radial Velocity,181.16219199,6.35656814,-50.85254512,14.1,,,279.3,1.0,-0.8,0.85,0.05,-0.07,0.044,0.132,-0.019,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
OGLE-2018-BLG-1428L b,OGLE-2018-BLG-1428L,2021.0,Microlensing,240.0,240.0,-170.0,14.0,,,,,,3.3,0.59,-0.83,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-120 b,Kepler-120,2014.0,Transit,8.5,9.7,-7.5,2.15,0.17,-0.17,6.312501,8e-06,-8e-06,0.055,,,0.0,,,89.91,,,575.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
OGLE-2015-BLG-1649L b,OGLE-2015-BLG-1649L,2019.0,Microlensing,807.0,470.0,-442.0,13.2,,,,,,2.07,0.65,-0.77,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 68988 c,HD 68988,2021.0,Radial Velocity,4767.426105,889.9195396,-476.7426105,12.3,,,16000.0,11000.0,-3500.0,13.2,5.3,-2.0,0.45,0.13,-0.081,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 24085 b,HD 24085,2019.0,Radial Velocity,11.8,3.1,-3.1,3.46,,,2.0455,0.0002,-0.0002,0.034,0.001,-0.001,0.22,0.12,-0.12,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 99492 c,HD 99492,2023.0,Radial Velocity,17.9,1.3,-1.3,4.42,,,95.233,0.098,-0.096,,,,0.063,0.06,-0.04,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
nu Oph b,nu Oph,2012.0,Radial Velocity,7057.73298,,,12.0,,,529.93,0.08,-0.07,1.765,0.0,0.0,0.126,0.003,-0.004,90.0,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 4732 c,HD 4732,2012.0,Radial Velocity,1069.49258955,36.86809521,-85.49584148,13.1,,,3184.2,58.12,-57.6,4.725,0.057,-0.057,0.187,0.034,-0.066,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L,2012.0,Microlensing,46.1,2.6,-2.6,7.72,,,,,,4.0,0.5,-0.5,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
OGLE-2014-BLG-0676L b,OGLE-2014-BLG-0676L,2016.0,Microlensing,1169.60853776,219.30160083,-457.67290608,13.0,,,,,,4.53,1.49,-2.5,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KMT-2017-BLG-1003L b,KMT-2017-BLG-1003L,2023.0,Microlensing,5.19,5.39,-2.8,2.13,,,,,,1.38,0.39,-0.32,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KMT-2021-BLG-0748L b,KMT-2021-BLG-0748L,2022.0,Microlensing,143.02278315,127.1313628,-79.45710175,14.3,,,,,,2.43,0.67,-0.67,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KMT-2019-BLG-2974L b,KMT-2019-BLG-2974L,2022.0,Microlensing,88.99195396,92.17023803,-57.20911326,11.4,,,,,,2.0,0.8,-0.7,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 1148 b,GJ 1148,2010.0,Radial Velocity,96.7,1.41,-1.02,11.9,,,41.38,0.002,-0.001,0.166,0.001,-0.001,0.38,0.01,-0.012,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 187123 b,HD 187123,1998.0,Radial Velocity,166.218,13.666,-13.666,14.2,,,3.0965828,7.8e-06,-7.8e-06,0.0426,0.0025,-0.0025,0.0103,0.0059,-0.0059,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 216536 b,HD 216536,2015.0,Radial Velocity,333.7215,127.132,-127.132,13.8,,,148.60001,0.7,-0.7,0.61,0.06,-0.06,0.38,0.11,-0.11,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
PSR B1620-26 b,PSR B1620-26,2003.0,Pulsar Timing,794.575,317.83,-317.83,13.3,,,,,,23.0,,,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TYC 0434-04538-1 b,TYC 0434-04538-1,2021.0,Radial Velocity,1938.763,222.481,-222.481,12.7,,,193.2,0.4,-0.4,0.66,0.04,-0.04,0.08,0.05,-0.03,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Wolf 1061 b,Wolf 1061,2015.0,Radial Velocity,1.91,0.26,-0.25,1.21,,,4.8869,0.0005,-0.0005,0.0375,0.0012,-0.0013,0.15,0.13,-0.1,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
USco CTIO 108 b,USco CTIO 108,2008.0,Imaging,4449.62,635.66,-2542.64,12.3,,,,,,670.0,,,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
PSR J1719-1438 b,PSR J1719-1438,2011.0,Pulsar Timing,382.8,,,,,,0.090706293,2e-09,-2e-09,0.0044,,,0.06,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
BD-08 2823 c,BD-08 2823,2009.0,Radial Velocity,104.0,10.0,-10.0,12.5,,,237.6,1.5,-1.5,0.68,0.02,-0.02,0.19,0.09,-0.09,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 422 b,GJ 422,2014.0,Radial Velocity,11.07,1.12,-1.12,3.33,,,20.129,0.005,-0.005,0.111,0.004,-0.004,0.11,0.04,-0.04,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 82943 c,HD 82943,2003.0,Radial Velocity,622.603,14.937,-14.937,13.4,,,220.078,0.051,-0.051,0.74345,0.00012,-0.00012,0.3663,0.0097,-0.0097,90.0,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HU Aqr AB b,HU Aqr,2011.0,Eclipse Timing Variations,1875.197,190.698,-190.698,12.8,,,2390.0,4.0,-4.0,3.6,0.8,-0.8,0.0,,,90.0,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 102329 c,HD 102329,2018.0,Radial Velocity,483.1016,95.349,-79.4575,13.5,,,1123.0,79.0,-53.0,,,,0.209,0.231,-0.202,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 99706 b,HD 99706,2011.0,Radial Velocity,390.9309,60.3877,-60.3877,13.7,,,841.0,32.0,-32.0,1.98,0.14,-0.14,0.25,0.16,-0.16,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HIP 4845 b,HIP 4845,2020.0,Radial Velocity,14.4,3.0,-3.0,3.89,,,34.15,0.046,-0.046,0.176,0.007,-0.007,0.25,0.14,-0.14,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 685 b,GJ 685,2019.0,Radial Velocity,9.0,1.7,-1.8,2.95,,,24.16,0.061,-0.047,0.1344,0.0052,-0.0051,0.0,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 202696 b,HD 202696,2019.0,Radial Velocity,634.38868,69.9226,-31.783,,,,517.8,8.9,-3.9,1.566,0.016,-0.007,0.011,0.078,-0.011,90.0,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 106906 b,HD 106906,2013.0,Imaging,3496.0,636.0,-636.0,12.4,,,,,,650.0,,,,,,,,,1800.0,100.0,-100.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
OGLE-2012-BLG-0358L b,OGLE-2012-BLG-0358L,2013.0,Microlensing,588.0,60.0,-60.0,13.4,,,,,,0.87,0.03,-0.03,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
POTS-1 b,POTS-1,2013.0,Transit,734.16,244.72,-244.72,10.548,0.404,-0.527,3.1606296,1.57e-06,-1.57e-06,0.03734,0.0009,-0.0009,,,,88.06,0.47,-0.34,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 121504 b,HD 121504,2003.0,Radial Velocity,479.9233,41.3179,-41.3179,13.6,,,63.33,0.03,-0.03,0.33,0.01,-0.01,0.03,0.01,-0.01,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
OGLE-2017-BLG-0482L b,OGLE-2017-BLG-0482L,2018.0,Microlensing,9.0,9.0,-4.5,2.95,,,,,,1.8,0.6,-0.7,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 3779 b,GJ 3779,2018.0,Radial Velocity,8.0,0.5,-0.5,2.75,,,3.0232,0.0013,-0.0013,0.026,0.001,-0.001,0.07,0.05,-0.05,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HIP 78530 b,HIP 78530,2010.0,Imaging,7300.0,300.0,-300.0,12.0,,,,,,740.0,60.0,-60.0,,,,,,,2700.0,100.0,-100.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
CoRoT-29 b,CoRoT-29,2015.0,Transit,270.1555,63.566,-63.566,10.0881,1.79344,-1.79344,2.85057,6e-06,-6e-06,0.0386,0.0059,-0.0059,0.082,0.081,-0.081,87.3,2.7,-2.7,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
MOA-2010-BLG-353L b,MOA-2010-BLG-353L,2015.0,Microlensing,86.0,150.0,-51.0,11.1,,,,,,1.72,0.56,-0.48,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
UZ For b,UZ For,2011.0,Eclipse Timing Variations,2002.2,476.7,-476.7,,,,5840.0,1095.0,-1095.0,5.9,1.4,-1.4,0.04,0.05,-0.05,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 10442 b,HD 10442,2014.0,Radial Velocity,472.61321,24.15508,-24.15508,13.6,,,1032.3,8.9,-8.9,2.01,0.12,-0.12,0.132,0.044,-0.044,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 128311 c,HD 128311,2005.0,Radial Velocity,1204.25787,293.67492,-137.30256,13.0,,,921.538,1.15,-1.15,1.74,0.01,-0.01,0.159,0.006,-0.006,55.95,14.553,-14.553,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
tau Cet h,tau Cet,2017.0,Radial Velocity,1.83,0.68,-0.26,1.19,,,49.41,0.08,-0.1,0.243,0.003,-0.003,0.23,0.16,-0.15,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 175541 b,HD 175541,2007.0,Radial Velocity,190.06234,9.21707,-9.21707,14.1,,,298.43,0.45,-0.45,0.975,0.087,-0.087,0.11,0.049,-0.049,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
11 UMi b,11 UMi,2009.0,Radial Velocity,4684.8142,794.575,-794.575,12.3,,,516.21997,3.2,-3.2,1.53,0.07,-0.07,0.08,0.03,-0.03,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 45184 b,HD 45184,2019.0,Radial Velocity,12.19,1.06,-1.03,3.52,,,5.8854,0.0003,-0.0003,0.0644,0.002,-0.0021,0.07,0.05,-0.05,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
DMPP-1 b,DMPP-1,2019.0,Radial Velocity,24.27,1.16,-1.59,5.29,,,18.57,0.01,-0.01,0.1462,0.0012,-0.0012,0.083,,,,,,877.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 180 b,GJ 180,2014.0,Radial Velocity,6.49,0.68,-0.68,2.43,,,17.133,0.003,-0.003,0.092,0.003,-0.003,0.07,0.04,-0.04,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 3293 e,GJ 3293,2017.0,Radial Velocity,3.28,0.64,-0.64,1.63,,,13.2543,0.0078,-0.0104,0.08208,3e-05,-4e-05,0.21,0.2,-0.14,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 163 b,GJ 163,2013.0,Radial Velocity,10.6,0.6,-0.6,3.25,,,8.63182,0.00155,-0.00155,0.0607,1e-05,-1e-05,0.073,0.05,-0.05,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 141399 d,HD 141399,2014.0,Radial Velocity,375.0394,25.4264,-25.4264,13.7,,,1069.8,6.7,-6.7,2.09,0.06,-0.06,0.074,0.025,-0.025,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 93083 b,HD 93083,2005.0,Radial Velocity,117.59,,,13.4,,,143.58,0.6,-0.6,0.477,,,0.14,0.03,-0.03,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 159243 c,HD 159243,2013.0,Radial Velocity,603.9,41.32,-41.32,13.4,,,248.4,4.9,-4.9,0.8,0.02,-0.02,0.075,0.05,-0.05,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 152581 b,HD 152581,2011.0,Radial Velocity,594.02427,22.56593,-22.56593,13.4,,,686.5,4.8,-4.8,1.66,0.3,-0.3,0.04,0.031,-0.031,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 102117 b,HD 102117,2005.0,Radial Velocity,54.0311,3.1783,-3.1783,8.47,,,20.8133,0.0064,-0.0064,0.15,0.0,0.0,0.12,0.08,-0.08,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 195019 b,HD 195019,1998.0,Radial Velocity,1264.9634,54.0311,-54.0311,13.0,,,18.20132,0.00039,-0.00039,0.14,0.0,0.0,0.01,0.0,0.0,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
OGLE-2014-BLG-1722L c,OGLE-2014-BLG-1722L,2018.0,Microlensing,83.7,86.4,-51.2,11.0,,,,,,1.7,0.7,-0.6,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 208487 b,HD 208487,2004.0,Radial Velocity,165.265,26.061,-26.061,14.2,,,130.08,0.51,-0.51,0.524,0.03,-0.03,0.24,0.16,-0.16,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
iot Dra b,iot Dra,2002.0,Radial Velocity,3756.73177074,133.48793094,-130.30964687,12.4,,,510.8544,0.0128,-0.0128,1.453,0.026,-0.026,0.701,0.0016,-0.0017,46.0,27.0,-19.0,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 40307 f,HD 40307,2013.0,Radial Velocity,5.2,1.5,-1.6,2.13,,,51.76,0.5,-0.46,0.247,0.011,-0.014,0.02,0.2,-0.02,,,,398.0,423.0,-423.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 45184 c,HD 45184,2019.0,Radial Velocity,8.81,1.09,-1.02,2.91,,,13.1354,0.0026,-0.0025,0.11,0.0034,-0.0036,0.07,0.07,-0.05,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 45364 c,HD 45364,2008.0,Radial Velocity,174.48779544,2.38371305,-2.35193021,14.2,,,345.43,0.54,-0.57,0.902,0.001,-0.001,0.019,0.011,-0.01,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HIP 75092 b,HIP 75092,2021.0,Radial Velocity,568.91284853,47.67426105,-47.67426105,13.5,,,926.4,12.8,-12.8,2.02,0.02,-0.02,0.42,0.1,-0.1,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HIP 114933 b,HIP 114933,2021.0,Radial Velocity,616.58710958,63.5656814,-63.5656814,13.4,,,1481.6,61.7,-61.7,2.84,0.09,-0.09,0.21,0.08,-0.08,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,2021.0,Imaging,2479.0615746,222.4798849,-254.2627256,20.8487041,0.56044903,-0.56044903,8040000.0,470000.0,-470000.0,200.0,6.0,-6.0,,,,,,,1800.0,40.0,-40.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1442 b,TOI-1442,2022.0,Transit,1.71,,,1.17,0.06,-0.06,0.4090677,3e-07,-3e-07,0.0071,0.0002,-0.0002,,,,,,,1072.0,54.0,-54.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 106252 b,HD 106252,2002.0,Radial Velocity,3178.28407,247.90615746,-232.01473711,12.5,,,1531.0,4.7,-4.7,2.61,0.04,-0.04,0.48,0.01,-0.01,46.0,4.9,-4.1,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 109286 b,HD 109286,2021.0,Radial Velocity,950.30693693,47.67426105,-47.67426105,13.2,,,520.1,2.3,-2.3,1.259,0.021,-0.022,0.338,0.034,-0.035,,,,259.4,5.5,-5.5,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KMT-2018-BLG-1976L b,KMT-2018-BLG-1976L,2021.0,Microlensing,705.57906354,425.89006538,-384.57237247,13.3,,,,,,3.54,1.25,-1.43,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KMT-2018-BLG-1996L b,KMT-2018-BLG-1996L,2021.0,Microlensing,346.43296363,203.41018048,-190.6970442,13.7,,,,,,4.27,1.11,-1.62,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
OGLE-2019-BLG-0954L b,OGLE-2019-BLG-0954L,2021.0,Microlensing,4513.1633794,3146.5012293,-2383.7130525,12.3,,,,,,2.65,0.89,-1.2,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KMT-2019-BLG-0371L b,KMT-2019-BLG-0371L,2021.0,Microlensing,2447.2787339,3604.17413538,-1239.5307873,12.6,,,,,,0.79,0.14,-0.16,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 24040 b,HD 24040,2006.0,Radial Velocity,1226.8238,114.4188,-114.4188,13.0,,,3668.0,170.0,-170.0,4.92,0.21,-0.21,0.04,0.06,-0.06,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 3765 b,HD 3765,2021.0,Radial Velocity,54.98431441,4.4495977,-4.13176929,8.56,,,1211.0,15.0,-16.0,2.108,0.032,-0.033,0.298,0.078,-0.071,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KMT-2018-BLG-1025L b,KMT-2018-BLG-1025L,2021.0,Microlensing,6.059,8.21,-3.321,2.34,,,,,,1.305,0.194,-0.227,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 39194 d,HD 39194,2021.0,Radial Velocity,4.0,0.6,-0.6,1.83,,,33.91,0.03,-0.03,0.185,0.0033,-0.0033,0.333,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 25723 b,HD 25723,2020.0,Radial Velocity,794.5710175,44.49597698,-54.03082919,13.3,,,457.01,1.29,-1.31,1.49,0.04,-0.05,0.04,0.05,-0.03,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
CD Cet b,CD Cet,2020.0,Radial Velocity,3.95,0.42,-0.43,1.82,,,2.2907,0.00012,-0.00012,0.0185,0.0013,-0.0013,,,,87.48,0.25,-0.28,464.0,18.0,-18.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
OGLE-2018-BLG-1185L b,OGLE-2018-BLG-1185L,2021.0,Microlensing,8.4,7.9,-4.7,2.83,,,,,,1.54,0.18,-0.22,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TCP J05074264+2447555 b,TCP J05074264+2447555,2018.0,Microlensing,20.0,2.0,-2.0,4.72,,,,,,0.94,0.09,-0.09,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
17 Sco b,17 Sco,2020.0,Radial Velocity,1373.01871824,47.67426105,-38.13940884,12.9,,,578.38,2.01,-2.09,1.45,0.02,-0.02,0.06,0.03,-0.02,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 39194 c,HD 39194,2021.0,Radial Velocity,6.3,0.5,-0.5,2.39,,,14.03,0.003,-0.003,0.103,0.002,-0.002,0.154,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 96700 d,HD 96700,2021.0,Radial Velocity,12.7,1.0,-1.0,3.61,,,103.5,0.1,-0.1,0.424,0.007,-0.007,0.27,0.08,-0.08,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
OGLE-2007-BLG-349L AB c,OGLE-2007-BLG-349L A,2016.0,Microlensing,80.0,13.0,-13.0,10.7,,,2557.0,,,2.59,0.43,-0.34,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 189567 c,HD 189567,2021.0,Radial Velocity,7.0,0.9,-0.9,2.54,,,33.688,0.025,-0.025,0.197,0.003,-0.003,0.16,0.09,-0.09,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 93385 b,HD 93385,2021.0,Radial Velocity,4.2,0.5,-0.5,1.88,,,7.3426,0.0012,-0.0012,0.0756,0.0013,-0.0013,0.295,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 93385 c,HD 93385,2021.0,Radial Velocity,7.1,0.6,-0.6,2.56,,,13.18,0.003,-0.003,0.112,0.002,-0.002,0.2,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 96700 b,HD 96700,2021.0,Radial Velocity,8.9,0.4,-0.4,2.93,,,8.1245,0.0006,-0.0006,0.0777,0.0013,-0.0013,0.138,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 93385 d,HD 93385,2021.0,Radial Velocity,8.7,0.9,-0.9,2.89,,,45.85,0.05,-0.05,0.2565,0.0043,-0.0043,0.09,0.15,-0.05,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 154088 b,HD 154088,2021.0,Radial Velocity,6.6,0.8,-0.8,2.46,,,18.56,0.01,-0.01,0.134,0.002,-0.002,0.344,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 156668 b,HD 156668,2010.0,Radial Velocity,4.15,0.58,-0.58,1.87,,,4.6455,0.0011,-0.0011,0.05,0.0007,-0.0007,0.0,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
V830 Tau b,V830 Tau,2016.0,Radial Velocity,222.481,38.1396,-38.1396,14.0,,,4.927,0.008,-0.008,0.057,0.001,-0.001,0.0,,,55.0,10.0,-10.0,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 164922 c,HD 164922,2016.0,Radial Velocity,13.0,3.0,-2.0,3.66,,,75.74,0.06,-0.05,0.341,0.004,-0.004,0.12,0.11,-0.09,,,,400.5,4.3,-4.3,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 164922 d,HD 164922,2020.0,Radial Velocity,4.0,1.0,-1.0,1.83,,,12.458,0.003,-0.003,0.103,0.001,-0.001,0.12,0.13,-0.08,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
BD-11 4672 c,BD-11 4672,2020.0,Radial Velocity,15.37,2.97,-2.81,4.04,,,74.2,0.06,-0.08,0.3,0.01,-0.01,0.4,0.13,-0.15,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 331093 b,HD 331093,2021.0,Radial Velocity,476.7426105,34.96112477,-34.96112477,13.6,,,621.62,16.11,-16.11,1.44,0.07,-0.07,0.59,0.03,-0.03,0.3704,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KIC 8121913 b,KIC 8121913,2021.0,Orbital Brightness Modulation,667.4396547,127.1313628,-127.1313628,13.4,,,3.294601,1.3e-05,-0.00022,,,,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 168009 b,HD 168009,2021.0,Radial Velocity,9.53485221,1.20774795,-1.17596511,3.05,,,15.1479,0.0035,-0.0037,0.1192,0.0017,-0.0018,0.12,0.11,-0.082,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 360 b,HD 360,2021.0,Radial Velocity,238.37130525,38.13940884,-47.67426105,14.0,,,273.1,1.6,-0.8,0.98,0.11,-0.03,0.139,0.108,-0.104,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 22496 b,HD 22496,2021.0,Radial Velocity,5.57,0.73,-0.68,2.22,,,5.09071,0.00026,-0.00026,0.051,0.0024,-0.0026,,,,,,,573.0,63.0,-69.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 211403 b,HD 211403,2021.0,Radial Velocity,1760.76937478,123.95307873,-120.77479466,12.8,,,223.8,0.41,-0.41,0.768,0.013,-0.013,0.084,0.057,-0.044,,,,380.0,13.0,-13.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
